"idUSer";"timestamp";"code";"idJoint0";"x0";"y0";"z0";"a0";"idJoint1";"x1";"y1";"z1";"a1";"idJoint2";"x2";"y2";"z2";"a2";"idJoint5";"x5";"y5";"z5";"a5";"idJoint6";"x6";"y6";"z6";"a6";"idJoint8";"x8";"y8";"z8";"a8";"idJoint11";"x11";"y11";"z11";"a11";"idJoint12";"x12";"y12";"z12";"a12";"idJoint14";"x14";"y14";"z14";"a14";"idJoint16";"x16";"y16";"z16";"a16";"idJoint17";"x17";"y17";"z17";"a17";"idJoint19";"x19";"y19";"z19";"a19";"idJoint20";"x20";"y20";"z20";"a20";"idJoint21";"x21";"y21";"z21";"a21";"idJoint23";"x23";"y23";"z23";"a23"
6;1341765241086;?;0;88.23698;198.31847;2619.1309;1.0;1;81.76399;255.96378;2623.6025;1.0;2;93.8288;292.19446;2573.6255;1.0;5;50.355007;263.2809;2555.717;1.0;6;32.4332;317.07208;2463.5608;1.0;8;59.25267;362.38156;2345.1968;1.0;11;111.588554;249.01576;2691.4878;1.0;12;123.24117;297.56873;2724.4585;1.0;14;143.32779;339.14386;2522.6106;1.0;16;77.83561;338.4704;2462.9487;1.0;17;86.78095;400.08917;2113.6277;1.0;19;120.97855;464.64346;2326.504;1.0;20;133.5668;321.65436;2584.3484;1.0;21;141.75826;418.6559;2564.4824;1.0;23;127.2904;490.15915;2711.3804;1.0
6;1341765241181;?;0;88.49866;198.05772;2621.7607;1.0;1;81.42153;256.13446;2622.5903;1.0;2;93.90584;292.32172;2574.1492;1.0;5;50.39935;263.6522;2555.0173;1.0;6;33.82121;320.3194;2459.7952;1.0;8;58.844254;364.82343;2345.4456;1.0;11;110.88527;248.9944;2690.1633;1.0;12;123.237175;297.8516;2722.2922;1.0;14;169.04236;340.27234;2482.6643;1.0;16;78.66709;338.69568;2465.1252;1.0;17;87.06846;399.62955;2116.478;1.0;19;120.161705;470.03232;2312.2588;1.0;20;133.74974;321.51062;2586.291;1.0;21;139.68074;419.15414;2562.66;1.0;23;127.732864;492.81564;2695.1755;1.0
6;1341765241254;?;0;88.65821;197.97356;2622.8774;1.0;1;81.33415;256.3056;2622.7002;1.0;2;93.7504;292.42792;2574.4866;1.0;5;50.221844;263.8119;2554.8286;1.0;6;33.17304;321.135;2456.722;1.0;8;56.703403;364.7077;2355.619;1.0;11;110.87683;249.17802;2690.5718;1.0;12;120.420006;297.7617;2689.8643;1.0;14;166.23006;338.701;2505.9558;1.0;16;78.35621;338.72107;2465.415;1.0;17;87.012596;399.8632;2116.4634;1.0;19;123.6531;463.00934;2352.6975;1.0;20;133.59424;321.55057;2587.1309;1.0;21;138.69476;418.811;2560.2766;1.0;23;128.71642;493.683;2686.7686;1.0
6;1341765241319;?;0;88.74429;197.86383;2623.6948;1.0;1;81.35028;256.32455;2622.0227;1.0;2;93.67584;292.3023;2573.3176;1.0;5;50.28648;263.8391;2554.9043;1.0;6;33.082268;319.7165;2463.788;1.0;8;54.631046;369.9401;2360.7695;1.0;11;110.86341;249.18512;2689.141;1.0;12;121.44092;297.4371;2687.2747;1.0;14;167.14766;339.095;2495.1433;1.0;16;77.91775;338.53677;2463.8137;1.0;17;86.53234;399.56345;2116.0608;1.0;19;124.78816;466.3741;2322.5981;1.0;20;133.693;321.2168;2585.4114;1.0;21;139.12415;418.73016;2560.7085;1.0;23;129.3439;495.33347;2679.621;1.0
6;1341765241422;?;0;89.02265;197.92413;2625.7405;1.0;1;81.54616;256.25595;2621.6975;1.0;2;91.89368;292.77988;2559.2349;1.0;5;50.219044;263.31314;2564.9094;1.0;6;32.911457;319.19806;2475.2224;1.0;8;63.26587;358.86438;2319.7588;1.0;11;111.54492;249.498;2678.4856;1.0;12;123.593254;297.7381;2699.2664;1.0;14;154.48135;331.54337;2548.3457;1.0;16;65.898544;341.5416;2432.4402;1.0;17;89.484505;405.69623;2127.11;1.0;19;132.85632;464.79907;2353.6611;1.0;20;137.76749;321.24393;2561.104;1.0;21;152.2595;416.10815;2587.4165;1.0;23;131.8742;493.25757;2696.7012;1.0
6;1341765241520;?;0;89.29881;197.81383;2626.9175;1.0;1;81.950134;256.04395;2621.983;1.0;2;91.54101;294.22037;2575.656;1.0;5;50.35918;261.97177;2558.839;1.0;6;34.07732;318.28635;2483.7837;1.0;8;65.47418;356.95807;2311.46;1.0;11;112.05529;250.39496;2685.127;1.0;12;124.241745;298.48615;2712.301;1.0;14;162.02454;336.2283;2514.2415;1.0;16;69.76029;341.79654;2467.2437;1.0;17;89.021416;407.61038;2132.2993;1.0;19;131.87346;470.49823;2346.7458;1.0;20;131.68611;326.1773;2591.4143;1.0;21;140.40674;416.5224;2558.515;1.0;23;132.68842;490.7418;2695.1035;1.0
6;1341765241606;?;0;89.53909;197.63237;2627.9697;1.0;1;82.08581;255.98198;2622.0337;1.0;2;90.99791;292.85138;2563.6584;1.0;5;50.646683;260.5785;2552.4849;1.0;6;33.046246;317.85138;2471.7212;1.0;8;57.991787;366.9852;2336.1426;1.0;11;111.90024;251.62303;2691.5828;1.0;12;124.789925;298.53128;2729.0488;1.0;14;161.93333;338.12296;2517.791;1.0;16;74.20691;337.05435;2448.9578;1.0;17;90.504906;407.0421;2141.9282;1.0;19;130.53853;468.75684;2352.993;1.0;20;125.29513;326.07047;2561.6086;1.0;21;137.17924;418.44815;2551.331;1.0;23;133.8805;495.05032;2676.6343;1.0
6;1341765241696;?;0;89.9328;197.36414;2627.4802;1.0;1;81.71981;256.04883;2620.1;1.0;2;92.37026;292.11426;2579.4392;1.0;5;50.946793;261.90082;2546.4714;1.0;6;32.82725;318.97815;2464.4397;1.0;8;64.3688;355.58603;2324.7012;1.0;11;110.810555;250.51675;2693.7288;1.0;12;123.88657;297.82672;2731.368;1.0;14;161.35489;337.1817;2522.01;1.0;16;79.48698;335.6475;2481.946;1.0;17;90.295074;403.88037;2147.8108;1.0;19;128.7487;467.40967;2344.853;1.0;20;126.19128;323.29877;2595.6106;1.0;21;132.96663;419.89786;2535.641;1.0;23;136.90999;491.08444;2680.2632;1.0
6;1341765241788;?;0;90.37115;197.46327;2629.2876;1.0;1;81.68735;256.29633;2620.109;1.0;2;93.128136;292.00906;2571.5383;1.0;5;51.193275;263.20303;2555.025;1.0;6;32.91242;320.1189;2472.4048;1.0;8;64.19175;351.43015;2344.101;1.0;11;110.70322;249.72443;2685.193;1.0;12;124.15957;298.2354;2710.5598;1.0;14;170.16524;343.62674;2474.8518;1.0;16;79.409546;336.59802;2469.1174;1.0;17;83.421104;400.28024;2127.2117;1.0;19;128.10516;468.1402;2337.3938;1.0;20;129.53932;321.9092;2576.818;1.0;21;142.03174;418.61887;2550.7217;1.0;23;138.71661;489.6861;2684.9382;1.0
6;1341765241864;?;0;90.58653;197.56654;2629.6794;1.0;1;81.683334;256.26218;2620.186;1.0;2;93.49207;291.67477;2570.5107;1.0;5;51.353153;263.3315;2554.742;1.0;6;32.983868;319.7474;2471.599;1.0;8;60.96315;354.0563;2356.3098;1.0;11;110.53535;249.53735;2685.63;1.0;12;124.44111;297.83325;2711.5422;1.0;14;166.46535;340.14377;2491.4211;1.0;16;79.145424;336.47418;2464.2788;1.0;17;83.443954;400.14117;2126.3237;1.0;19;128.09483;469.01434;2336.5273;1.0;20;131.2187;320.84268;2577.392;1.0;21;142.0917;417.43262;2543.5298;1.0;23;141.37225;488.15768;2678.5825;1.0
