"idUSer";"timestamp";"code";"idJoint0";"x0";"y0";"z0";"a0";"idJoint1";"x1";"y1";"z1";"a1";"idJoint2";"x2";"y2";"z2";"a2";"idJoint5";"x5";"y5";"z5";"a5";"idJoint6";"x6";"y6";"z6";"a6";"idJoint8";"x8";"y8";"z8";"a8";"idJoint11";"x11";"y11";"z11";"a11";"idJoint12";"x12";"y12";"z12";"a12";"idJoint14";"x14";"y14";"z14";"a14";"idJoint16";"x16";"y16";"z16";"a16";"idJoint17";"x17";"y17";"z17";"a17";"idJoint19";"x19";"y19";"z19";"a19";"idJoint20";"x20";"y20";"z20";"a20";"idJoint21";"x21";"y21";"z21";"a21";"idJoint23";"x23";"y23";"z23";"a23"
2;1342169156954;crouched;0;283.4926;151.0061;1997.2401;1.0;1;268.66165;209.9712;2041.9897;1.0;2;259.76407;250.45114;2064.7483;1.0;5;243.81201;208.94778;1915.3335;1.0;6;285.33255;231.63022;1731.9707;1.0;8;386.2539;222.3403;1681.3053;1.0;11;290.6087;210.87509;2168.646;1.0;12;308.0966;265.33835;2111.8208;1.0;14;347.91193;332.53412;1953.5117;1.0;16;239.72298;291.91025;2029.0295;1.0;17;199.80875;377.41144;1680.9022;1.0;19;220.4054;404.4383;2004.5742;1.0;20;261.78006;288.2881;2145.9841;1.0;21;351.82153;343.60242;2042.4957;1.0;23;279.39798;387.2509;2240.3088;1.0
2;1342169157052;crouched;0;283.09354;151.48404;1994.9266;1.0;1;268.73755;209.88515;2041.9221;1.0;2;260.5919;253.64194;2069.6956;1.0;5;243.77136;210.21408;1916.7845;1.0;6;284.76917;233.05414;1730.4037;1.0;8;397.0092;222.40941;1663.3292;1.0;11;290.82037;209.5942;2167.0598;1.0;12;308.83774;265.25284;2106.8088;1.0;14;349.9286;334.82416;1953.9178;1.0;16;243.73349;298.28766;2051.504;1.0;17;210.60017;390.10226;1748.2035;1.0;19;225.36269;408.90903;2042.8506;1.0;20;261.20746;294.28006;2143.434;1.0;21;343.63904;350.50876;2020.1069;1.0;23;273.1737;381.42355;2253.994;1.0
2;1342169157142;crouched;0;282.83444;151.4778;1993.0415;1.0;1;269.00885;209.74854;2041.4644;1.0;2;261.43494;252.2183;2069.8645;1.0;5;249.1665;211.97655;1908.4235;1.0;6;290.96338;235.98827;1722.484;1.0;8;398.36606;213.85355;1649.9731;1.0;11;286.4232;207.79315;2174.5051;1.0;12;306.56473;265.96487;2146.0447;1.0;14;344.45383;331.3826;1960.3185;1.0;16;247.04022;296.25308;2050.1821;1.0;17;210.58015;389.14316;1778.5662;1.0;19;222.96475;408.89374;2066.0735;1.0;20;260.77713;290.94537;2146.3472;1.0;21;342.0213;339.2431;2030.376;1.0;23;256.6367;379.1948;2231.812;1.0
2;1342169157212;crouched;0;282.5619;151.38739;1991.8691;1.0;1;269.17014;212.54532;2030.0468;1.0;2;261.81458;253.90335;2064.5564;1.0;5;249.86705;216.17146;1908.991;1.0;6;293.89633;245.7807;1734.1793;1.0;8;391.89206;201.61946;1619.445;1.0;11;286.3006;209.32732;2151.1025;1.0;12;305.29498;261.82816;2134.6057;1.0;14;346.05862;322.87317;1965.2327;1.0;16;246.90839;297.28705;2048.9932;1.0;17;208.34238;394.8635;1757.5775;1.0;19;221.75763;412.2269;2072.3435;1.0;20;262.13022;290.67368;2149.139;1.0;21;342.0787;338.42407;2020.4634;1.0;23;275.4499;385.45737;2261.5605;1.0
2;1342169157303;crouched;0;281.6242;150.89561;1990.2876;1.0;1;268.44632;211.79749;2031.2738;1.0;2;264.81784;259.02786;2062.3818;1.0;5;242.65268;214.29893;1918.0408;1.0;6;273.62402;260.46646;1772.9214;1.0;8;342.11118;196.95842;1626.2397;1.0;11;291.51605;209.5602;2144.5066;1.0;12;311.42984;262.94974;2107.6638;1.0;14;349.47552;330.58978;1943.0413;1.0;16;251.01077;307.99173;2046.0936;1.0;17;212.61777;380.56995;1726.9554;1.0;19;226.7126;410.69348;2043.9769;1.0;20;271.1282;301.85638;2140.8862;1.0;21;343.38135;340.17255;2000.0222;1.0;23;273.25732;383.35458;2268.6592;1.0
2;1342169157370;crouched;0;281.35333;150.58087;1990.198;1.0;1;267.59427;213.86588;2024.3553;1.0;2;264.521;261.3234;2062.6572;1.0;5;238.88858;217.34882;1919.8884;1.0;6;268.43796;267.23267;1777.2817;1.0;8;323.22955;203.49023;1633.6968;1.0;11;293.4826;210.72478;2128.8223;1.0;12;313.30606;264.2962;2087.5007;1.0;14;350.89258;331.9345;1941.5592;1.0;16;248.67874;310.84528;2051.4365;1.0;17;211.5213;385.9543;1729.5206;1.0;19;230.68266;407.32898;2043.6497;1.0;20;273.8475;303.43057;2150.4817;1.0;21;344.44373;339.80212;1987.0177;1.0;23;271.40927;373.65488;2238.6887;1.0
2;1342169157460;crouched;0;280.65915;149.6291;1989.3984;1.0;1;265.98593;214.22884;2011.8176;1.0;2;264.77756;258.09888;2074.4429;1.0;5;234.66093;219.324;1945.5168;1.0;6;218.66136;277.85446;1856.9266;1.0;8;273.5029;280.70627;1623.5208;1.0;11;295.31213;209.45879;2078.1184;1.0;12;305.58093;258.61115;2087.7275;1.0;14;335.89203;318.0735;1903.5463;1.0;16;246.50005;303.76266;2098.0461;1.0;17;202.99275;385.61154;1780.9651;1.0;19;232.32668;407.6767;2084.9333;1.0;20;280.16528;295.18945;2176.09;1.0;21;354.8804;338.13037;1947.7646;1.0;23;273.58267;371.8587;2188.4175;1.0
2;1342169157523;crouched;0;280.33597;149.27577;1988.1713;1.0;1;265.62424;214.646;2017.0662;1.0;2;266.17496;258.25665;2069.3203;1.0;5;231.19904;218.55812;1964.4119;1.0;6;219.42752;282.96014;1893.3787;1.0;8;253.08507;298.24738;1653.5582;1.0;11;298.29788;210.93294;2069.7205;1.0;12;307.21576;257.81976;2105.741;1.0;14;360.4216;339.22394;1949.7466;1.0;16;245.67293;303.50433;2087.3735;1.0;17;247.31108;427.46768;2009.4297;1.0;19;231.70009;410.19437;2080.0732;1.0;20;287.05704;296.0539;2155.7754;1.0;21;307.41507;346.68274;2032.8425;1.0;23;275.77795;370.3813;2198.6116;1.0
2;1342169157595;crouched;0;279.64383;148.7752;1985.053;1.0;1;264.16238;214.72806;2016.7251;1.0;2;263.5172;259.77057;2059.5784;1.0;5;228.2506;216.32195;1971.1442;1.0;6;213.73615;280.12106;1914.4366;1.0;8;221.85542;319.99167;1709.1224;1.0;11;298.48676;213.20464;2062.306;1.0;12;312.92383;264.42538;2121.1023;1.0;14;357.81506;340.28287;1937.8103;1.0;16;244.36052;304.85153;2077.6514;1.0;17;246.0453;426.0183;2008.5197;1.0;19;231.24289;408.1973;2069.7393;1.0;20;281.00427;301.1459;2127.212;1.0;21;305.0617;356.10535;2045.4159;1.0;23;281.44507;378.93594;2185.7205;1.0
2;1342169157689;crouched;0;277.1673;146.74258;1979.4731;1.0;1;259.24286;212.68764;2014.581;1.0;2;256.72595;257.69098;2048.02;1.0;5;219.92004;211.59836;1974.5306;1.0;6;187.13644;266.24936;2040.7004;1.0;8;194.07213;323.9719;1784.0153;1.0;11;297.03268;213.73444;2054.6313;1.0;12;315.9047;264.06607;2135.622;1.0;14;346.0312;347.55292;1933.4042;1.0;16;235.11165;301.5923;2061.1213;1.0;17;227.41948;374.1014;1873.9089;1.0;19;230.91074;403.35217;2066.6416;1.0;20;273.09695;300.91104;2101.7966;1.0;21;287.2436;404.14285;2100.586;1.0;23;290.78412;391.34338;2199.308;1.0
